#attribute	str	dex	int	con
# players
player mage	0.9	0.9	1.3	0.9
player adventurer	1.0	1.0	1.0	1.0
player warrior	1.1	1.1	0.7	1.1
player rogue	0.9	1.1	1.0	1.0
player dragonmaster	1.1	1.2	0.9	1.2
# monsters
archer	0.95	0.95	0.9	0.9
bird	0.85	0.95	0.75	0.78
boss	1.1	1.2	1.1	1.3
dragon	1.1	1.0	0.9	1.2
finalboss	1.3	1.4	1.2	1.5
fish	0.90	1.08	0.6	0.8
fungus	0.80	0.77	0.3	0.7
giant	1.2	1.05	0.95	1.15
insect	0.80	0.9	0.6	0.78
jelly	0.8	0.63	0.4	0.86
mage	0.85	0.83	1.5	0.81
magical	0.75	1.05	1.2	0.76
mammal	1.05	0.9	0.87	1.0
reptile	1.1	1.1	0.7	1.05
rogue	0.9	0.95	0.9	0.9
strong	1.1	1.0	1.0	1.1
undead	0.90	1.05	1.05	0.85
warrior	1.08	1.05	0.83	1.0
weak	0.9	0.6	0.8	0.8
