# area is unused, just a reminder for roughly where the monsters will be. Remove it later											
#area*	id	name	image	description	hp	attacks[]	dexterity	defense	experience	speed	flags[]
basement.L1	green mushrooms	green mushrooms	green mushrooms	They are dark green, with tall brown stems.	3	1d1	1	0	1	0	stationary
basement.L1.L2	black ant	black ant	black ant	A large black ant.	2	1d1	1	1	1	0	erratic
basement.L2.L3	white rat	white rat	white rat	It looks like a cute lab rat, but it has sharp teeth.	4	1d2	2	2	2	0	
basement.L2.L3	brown beetle	brown beetle	brown beetle	It is a giant brown beetle with a hard exoskeleton.	2	1d2	2	2	2	1	erratic
basement.L3	crawling moss	crawling moss	crawling moss	A mass of sickly green vegetation. It’s crawling around slowly.	5	1d3	1	2	2	-1	
basement.L3	giant salamander	giant salamander	giant salamander	A giant green salamander. Watch out!	10	1d3	3	2	5	0	boss
area1.1	bit	bit	bit	A small creature that looks like a red gumdrop.	3	1d3	2	2	3	0	
area1.1	bot	bot	bot	A small creature that looks like a blue gumdrop.	4	1d4	2	2	3	0	
area1	yellow ant	yellow ant	yellow ant	A large yellow ant; it is about 2 feet long.	5	1d3	3	2	3	0	erratic
area1	pigeon	pigeon	pigeon	An ill-tempered pigeon.	8	1d3	4	1	4	0	
area1	yellow snake	yellow snake	yellow snake	It is about 6 feet long and covered in bright yellow and gold scales.	10	1d5	3	2	5	-3	
area1	scruffy dog	scruffy dog	scruffy dog	A thin flea-ridden mutt, growling as you get close.	15	1d2	3	2	5	0	
area1	yellow mushrooms	yellow mushrooms	yellow mushrooms	Some brownish mushrooms; they look like shiitakes.	7	1d5	3	2	5	0	stationary
area1	floating eye	floating eye	floating eye	A disembodied eye, floating a few feet above the ground.	9	1d4	3	2	5	0	
area1	bat	bat	bat	A gray bat, fluttering around the air.	7	1d5	3	2	5	2	
area1	green worm mass	green worm mass	green worm mass	It is a large slimy mass of green worms.	10	2d3	3	2	5	0	
area1	brown imp	brown imp	brown imp	A fast, mischievous creature.	15	3d3	3	2	5	2	
